ticker_yf,ticker_tv,price,last,mcap_usd_final,mcap,avg_dollar_vol,tv_score,tv_reco,analyst_bucket,analyst_votes,sector,industry,p_tech,p_tv,p_an,pillars_met,votes_bin,rank_score,bucket
TSLA,TSLA,368.80999755859375,368.80999755859375,,,25722709645.36026,1.0,STRONG_BUY,HOLD,20.0,Consumer Discretionary,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
PLTR,PLTR,164.36000061035156,164.36000061035156,,,12507581482.38508,1.0,STRONG_BUY,HOLD,20.0,Information Technology,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
AMZN,AMZN,229.9499969482422,229.9499969482422,,,8220832640.462973,1.0,STRONG_BUY,HOLD,20.0,Consumer Discretionary,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
HOOD,HOOD,117.75,117.75,,,4480840167.307365,1.0,STRONG_BUY,HOLD,20.0,Financials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
JPM,JPM,305.5599975585937,305.5599975585937,,,2063882382.57341,1.0,STRONG_BUY,HOLD,20.0,Financials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
WMT,WMT,102.6500015258789,102.6500015258789,,,1822510362.3620942,1.0,STRONG_BUY,HOLD,20.0,Consumer Staples,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
GEV,GEV,634.1500244140625,634.1500244140625,,,1765716724.9985414,1.0,STRONG_BUY,HOLD,20.0,Industrials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
SNOW,SNOW,224.52999877929688,224.52999877929688,,,1709917021.2254531,1.0,STRONG_BUY,HOLD,20.0,Information Technology,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
HD,HD,423.4200134277344,423.4200134277344,,,1593092289.4789276,1.0,STRONG_BUY,HOLD,20.0,Consumer Discretionary,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
PANW,PANW,198.3300018310547,198.3300018310547,,,1561700134.163414,1.0,STRONG_BUY,HOLD,20.0,Information Technology,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
GS,GS,784.72998046875,784.72998046875,,,1256445082.8690186,1.0,STRONG_BUY,HOLD,20.0,Financials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
C,C,98.81999969482422,98.81999969482422,,,1227498571.386877,1.0,STRONG_BUY,HOLD,20.0,Financials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
RBLX,RBLX,132.9600067138672,132.9600067138672,,,1141374048.827105,1.0,STRONG_BUY,HOLD,20.0,Communication Services,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
WFC,WFC,81.25,81.25,,,1103545048.4096146,1.0,STRONG_BUY,HOLD,20.0,Financials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
GE,GE,281.5599975585937,281.5599975585937,,,1097164910.0350037,1.0,STRONG_BUY,HOLD,20.0,Industrials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
SPOT,SPOT,690.3099975585938,690.3099975585938,,,972757032.3325714,1.0,STRONG_BUY,HOLD,20.0,Communication Services,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
RKLB,RKLB,48.43000030517578,48.43000030517578,,,943351453.7002884,1.0,STRONG_BUY,HOLD,20.0,Industrials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
VRT,VRT,135.7100067138672,135.7100067138672,,,866594457.8657547,1.0,STRONG_BUY,HOLD,20.0,Industrials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
KLAC,KLAC,959.280029296875,959.280029296875,,,833171932.636975,1.0,STRONG_BUY,HOLD,20.0,Information Technology,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
AXP,AXP,329.32000732421875,329.32000732421875,,,768797384.1471039,1.0,STRONG_BUY,HOLD,20.0,Financials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
VST,VST,204.0500030517578,204.0500030517578,,,762107962.1468194,1.0,STRONG_BUY,HOLD,20.0,Utilities,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
DASH,DASH,260.19000244140625,260.19000244140625,,,751393477.5449585,1.0,STRONG_BUY,HOLD,20.0,Consumer Discretionary,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
GILD,GILD,117.86000061035156,117.86000061035156,,,704497794.9066902,1.0,STRONG_BUY,HOLD,20.0,Health Care,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
ETN,ETN,360.0799865722656,360.0799865722656,,,677697968.2833496,1.0,STRONG_BUY,HOLD,20.0,Industrials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
MDT,MDT,94.25,94.25,,,667727320.0819763,1.0,STRONG_BUY,HOLD,20.0,Health Care,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
RIVN,RIVN,13.970000267028809,13.970000267028809,,,664247351.2128388,1.0,STRONG_BUY,HOLD,20.0,Consumer Discretionary,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
DHI,DHI,181.00999450683597,181.00999450683597,,,626705288.9515884,1.0,STRONG_BUY,HOLD,20.0,Consumer Discretionary,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
DDOG,DDOG,139.14999389648438,139.14999389648438,,,600570586.1881058,1.0,STRONG_BUY,HOLD,20.0,Information Technology,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
ADSK,ADSK,324.5199890136719,324.5199890136719,,,534563337.0450989,1.0,STRONG_BUY,HOLD,20.0,Information Technology,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
COHR,COHR,103.51000213623048,103.51000213623048,,,526115873.9325821,1.0,STRONG_BUY,HOLD,20.0,Information Technology,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
DKS,DKS,230.92999267578125,230.92999267578125,,,510024284.11994934,1.0,STRONG_BUY,HOLD,20.0,Consumer Discretionary,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
JCI,JCI,107.81999969482422,107.81999969482422,,,487218356.0469974,1.0,STRONG_BUY,HOLD,20.0,Industrials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
FCX,FCX,45.91999816894531,45.91999816894531,,,484427345.6883423,1.0,STRONG_BUY,HOLD,20.0,Materials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
TPR,TPR,106.87000274658205,106.87000274658205,,,482174096.7046566,1.0,STRONG_BUY,HOLD,20.0,Consumer Discretionary,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
U,U,43.400001525878906,43.400001525878906,,,469669744.21940804,1.0,STRONG_BUY,HOLD,20.0,Information Technology,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
HBAN,HBAN,17.739999771118164,17.739999771118164,,,451059693.6545855,1.0,STRONG_BUY,HOLD,20.0,Financials,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
TLN,TLN,400.9200134277344,400.9200134277344,,,450366669.0211334,1.0,STRONG_BUY,HOLD,20.0,Utilities,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
NET,NET,224.63999938964844,224.63999938964844,,,436413663.73984224,1.0,STRONG_BUY,HOLD,20.0,Information Technology,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
ORLY,ORLY,107.81999969482422,107.81999969482422,,,429292167.15030634,1.0,STRONG_BUY,HOLD,20.0,Consumer Discretionary,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
VEEV,VEEV,279.4700012207031,279.4700012207031,,,422090012.54393005,1.0,STRONG_BUY,HOLD,20.0,Health Care,Unknown,True,True,False,2,10-20,0.7999999999999999,pre_signal
